29240,-0.0001,54201.5286,s,ccd,Dogru S S,,"I,5795,,,,30cm+ST237",
29294,0.0023,54219.6404,p,ccd,Samolyk G,,"A,0012,,,,",
29296,0.0007,54220.4858,s,ccdR,Brat L,,,"C,0034,E,0074,,RL200 + ST8"
29305,0.002,54223.3636,p,ccdR,Ehrenberger R,,"C,0034,E,0074,,RL96/400 + H",
30204,0.0012,54527.6806,p,ccd,Menzies K,,"A,0086,,,,",
30215,0.0014,54531.4044,p,ccd,Agerer Franz,,"D,0201,I,5874,,Sigma 1603",
30242,0.0006,54540.7133,s,ccd,Samolyk G,,"A,0086,,,,",
30287,0.0015,54555.777,p,ccd,Bialozynski J,,"A,0086,,,,",
30318,0.0014,54566.2706,p,VRI,Liakos A,,"I,5897,,,,",
30339,0.001,54573.3789,p,BVRI,Liakos A,,"I,5897,,,,",
30339,0.001,54573.5489,s,BVRI,Liakos A,,"I,5897,,,,",
30360,0.0012,54580.6577,s,ccd,Bialozynski J,,"A,0086,,,,",
30365,0.0016,54582.3507,s,ccd,Baludansky D,,"I,5898,,,,100/200mm",
30368,0.0009,54583.3655,s,-Ir,Walter Frank,,"D,0201,I,5874,,416XT",
30410,0.0018,54597.4137,p,-Ir,Schirmer Joerg,,"D,0201,I,5874,,KAF401e",
30449,-0.0016,54610.612,p,V,Diethelm Roger,,"I,5992,,,base,",
30456,-0.003,54613.1502,s,vis,Tvardowskyi,,",,,,priv.comm,",
30502,0.0012,54628.7257,s,ccd,Bialozynski J,,"A,0086,,,,",
31068,-0.0025,54820.317,s,V,Itoh Hiroshi,,"J,0048,,,,30SC+DSI-Pro",
31205,0.001,54866.5259,p,-U-I,Raetz M,,,"D,0214,I,5959,,ST-6"
31268,0.0013,54887.8522,p,V,Diethelm Roger,,"I,5894,,,,",
31269,-0.0097,54888.3497,s,V,Tvardowskyi,,",,,,priv.comm,",
31372,-0.0077,54923.2179,s,V,Tvardowskyi,,",,,,priv.comm,",
31399,0.0003,54932.3656,s,-U-I,Raetz M,,,"D,0214,I,5959,,ST-6"
31403,-0.0009,54933.7184,s,ccd,Samolyk G,,"A,0109,,,,",
31422,-0.0062,54940.1447,s,vis,Tvardowskyi,,",,,,priv.comm,",
32230,0.0005,55213.6651,s,V,Parimucha Stefan,"I,5980,,,,265mm+MeadeD",,
32375,0.0002,55262.7483,s,ccd,Nelson Robert,,"I,5966,,,,",
32428,0.0017,55280.6907,s,V,Diethelm Roger,,"I,5945,,,,Astrokolchoz",
